Local,Politica Vacinacao Infantil
Albania,Obrigatorio
Andorra,Obrigatorio
Anguilla,Obrigatorio
Antigua and Barbuda,Obrigatorio
Argentina,Obrigatorio
Armenia,Recomendado
Australia,Recomendado
Austria,Recomendado
Azerbaijan,Obrigatorio
Bahamas,Obrigatorio
Bangladesh,Recomendado
Barbados,Obrigatorio
Belarus,Recomendado
Belgium,Obrigatorio
Belize,Obrigatorio
Bermuda,Recomendado
Bhutan,Obrigatorio
Bolivia,Recomendado
Bosnia and Herzegovina,Obrigatorio
Brazil,Obrigatorio
British Virgin Islands,Obrigatorio
Brunei,Obrigatorio
Bulgaria,Obrigatorio
Canada,Recomendado
Chile,Obrigatorio
China,Recomendado
Colombia,Obrigatorio para entrar na escola
Costa Rica,Obrigatorio
Croatia,Obrigatorio
Cuba,Obrigatorio
Cyprus,Obrigatorio para entrar na escola
Czechia,Obrigatorio
Denmark,Recomendado
Dominica,Obrigatorio para entrar na escola
Ecuador,Obrigatorio
Egypt,Obrigatorio
El Salvador,Obrigatorio
Estonia,Recomendado
Ethiopia,Obrigatorio
Finland,Recomendado
France,Obrigatorio
French Guiana,Obrigatorio
French Polynesia,Obrigatorio
Gabon,Obrigatorio
Georgia,Recomendado
Germany,Obrigatorio para entrar na escola
Greece,Obrigatorio para entrar na escola
Grenada,Obrigatorio para entrar na escola
Guam,Obrigatorio
Guatemala,Obrigatorio
Guyana,Obrigatorio para entrar na escola
Honduras,Obrigatorio para entrar na escola
Hungary,Obrigatorio
Iceland,Recomendado
India,Recomendado
Indonesia,Obrigatorio
Iran,Obrigatorio
Iraq,Obrigatorio para entrar na escola
Ireland,Recomendado
Israel,Recomendado
Italy,Obrigatorio
Jamaica,Obrigatorio
Japan,Recomendado
Jordan,Obrigatorio
Kazakhstan,Obrigatorio
Kenya,Recomendado
Kosovo,Obrigatorio
Kuwait,Obrigatorio
Kyrgyzstan,Obrigatorio para entrar na escola
Latvia,Obrigatorio
Lebanon,Obrigatorio
Lesotho,Obrigatorio
Liberia,Obrigatorio
Libya,Obrigatorio
Liechtenstein,Recomendado
Lithuania,Recomendado
Luxembourg,Recomendado
Malaysia,Recomendado
Maldives,Obrigatorio para entrar na escola
Mali,Obrigatorio
Malta,Obrigatorio
Marshall Islands,Obrigatorio
Mayotte,Obrigatorio
Mexico,Obrigatorio
Micronesia (country),Obrigatorio
Moldova,Obrigatorio para entrar na escola
Monaco,Obrigatorio
Mongolia,Obrigatorio
Montenegro,Obrigatorio
Nepal,Obrigatorio
Netherlands,Recomendado
New Caledonia,Obrigatorio
New Zealand,Recomendado
Nicaragua,Obrigatorio
Nigeria,Obrigatorio
North Macedonia,Obrigatorio
Norway,Recomendado
Oman,Obrigatorio
Pakistan,Obrigatorio
Palau,Obrigatorio
Panama,Obrigatorio
Paraguay,Obrigatorio para entrar na escola
Peru,Obrigatorio
Philippines,Obrigatorio
Poland,Obrigatorio
Portugal,Recomendado
Puerto Rico,Obrigatorio
Qatar,Obrigatorio
Romania,Recomendado
Russia,Recomendado
Saint Kitts and Nevis,Obrigatorio para entrar na escola
Saint Vincent and the Grenadines,Obrigatorio para entrar na escola
Samoa,Obrigatorio
San Marino,Obrigatorio
Saudi Arabia,Obrigatorio
Serbia,Obrigatorio
Singapore,Obrigatorio
Sint Eustatius,Recomendado
Slovakia,Obrigatorio
Slovenia,Obrigatorio
Somalia,Obrigatorio
South Korea,Obrigatorio
Spain,Recomendado
Suriname,Obrigatorio
Sweden,Recomendado
Switzerland,Recomendado
Syria,Obrigatorio
Taiwan,Obrigatorio
Tajikistan,Obrigatorio
Trinidad and Tobago,Obrigatorio
Tunisia,Obrigatorio
Turkey,Recomendado
Turkmenistan,Obrigatorio
Uganda,Obrigatorio
Ukraine,Obrigatorio
United Arab Emirates,Obrigatorio para entrar na escola
United Kingdom,Recomendado
United States,Obrigatorio para entrar na escola
United States Virgin Islands,Obrigatorio para entrar na escola
Uruguay,Obrigatorio
Uzbekistan,Obrigatorio
Venezuela,Obrigatorio
Vietnam,Obrigatorio
